Year,Month,Day,Hour,Minute,Temperature,Relative Humidity,WEST
2012,4,16,17,0,20.133333333333336,21.17,976.1905823556556
2012,4,16,18,0,21.933333333333337,18.476666666666667,981.69487146706
2012,4,16,19,0,23.26666666666667,16.666666666666668,981.3885427193223
2012,4,16,20,0,24.100000000000005,15.49,972.9653479942548
2012,4,16,21,0,24.433333333333337,14.786666666666669,994.4822280931594
2012,4,16,22,0,24.3,14.43,972.0063973898064
2012,4,16,23,0,23.633333333333336,14.523333333333332,883.613386535324
2012,4,17,0,0,22.066666666666663,15.723333333333334,809.56333
2012,4,17,1,0,19.2,25.02333333333333,772.3240583097358
2012,4,17,2,0,16.666666666666668,31.526666666666667,746.8663368395995
2012,4,17,3,0,15.166666666666666,33.87,725.2049065774656
2012,4,17,4,0,13.6,39.083333333333336,722.6885847108787
2012,4,17,5,0,12.266666666666666,44.63666666666666,728.8856868846918
2012,4,17,6,0,11.3,49.18333333333334,761.4375431939447
2012,4,17,7,0,10.4,53.330000000000005,843.7934997467507
2012,4,17,8,0,9.7,56.72333333333333,876.9388761040074
2012,4,17,9,0,9.1,60.24666666666667,881.1285557360352
2012,4,17,10,0,8.466666666666667,64.53333333333333,893.8025191789341
2012,4,17,11,0,7.900000000000001,69.39,910.6825712954726
2012,4,17,12,0,7.6,73.68333333333334,928.921509254104
2012,4,17,13,0,8.966666666666667,70.13000000000001,947.4837857238684
2012,4,17,14,0,12.5,57.830000000000005,976.1187671750351
2012,4,17,15,0,16.666666666666668,43.46,1006.4746658622564
2012,4,17,16,0,20.066666666666663,31.826666666666668,1038.6567340198085
2012,4,17,17,0,22.46666666666667,25.336666666666662,1076.8937446938287
2012,4,17,18,0,24.33333333333333,21.076666666666668,1080.0844742571012
2012,4,17,19,0,25.7,18.266666666666666,1080.482484685852
2012,4,17,20,0,26.5,16.566666666666666,1057.138195089345
2012,4,17,21,0,26.9,15.586666666666668,1053.379970712982
2012,4,17,22,0,26.73333333333333,15.333333333333334,1025.8072919770586
2012,4,17,23,0,26.066666666666663,15.643333333333336,947.848659837184
2012,4,18,0,0,24.433333333333337,17.106666666666666,862.63179
2012,4,18,1,0,21.03333333333333,23.156666666666663,800.1901415214783
2012,4,18,2,0,18.23333333333333,31.016666666666666,768.2651709135881
2012,4,18,3,0,17.400000000000002,32.126666666666665,750.3933737961848
